Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)",ME1 (ME đã bao gồm thuế + phí)
05/09/2020,FB,DucVu,CVS,0,0,0,0,0,0,0,1,0,0,0,"18,939,471",0,0,0,0,"20,454,629"
05/09/2020,FB,DucVu,Mess,0,0,0,0,0,0,0,2,1,"499,000","499,000",0,0.5,0,0,0,0
05/09/2020,FB,DucVu,Brand,"853,807","209,631","174,055",52,1,0,0,0,0,0,0,0,0,"4,073","16,419",0,"922,112"
05/09/2020,FB,NgocNgo,CVS,"18,939,471",0,0,0,0,0,0,107,79,"39,247,435","35,429,000",0,0.74,0,0,0,0
05/09/2020,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/2020,FB,GiangPhan,CVS,"783,312","3,815","3,367",11,1,4,0,3,0,0,0,"261,104",0,"205,324","71,210","195,828","845,977"
05/09/2020,FB,TungTran,CVS,"2,137,733","29,274","23,480",88,6,13,0,15,12,"5,988,000","5,988,000","142,516",0.8,"73,025","24,292","164,441","2,308,752"
05/09/2020,FB,YenNguyen02,CVS,"198,945","3,903","3,708",5,1,0,0,2,2,"998,000","998,000","99,473",1,"50,972","39,789",0,"214,861"
05/09/2020,Google,TienTran,Search,"478,786","3,239",0,127,0,0,0,5,5,"2,473,304","1,996,000","95,757",1,"147,819","3,770",0,"478,786"
05/09/2020,Google,TienTran,Discovery,"398,054","29,257",0,"1,064",0,0,0,4,3,"1,475,304","998,000","99,514",0.75,"13,605",374,0,"398,054"
05/09/2020,Google,TienTran,PerMax,"214,124","9,733",0,85,0,0,0,0,0,0,0,0,0,"22,000","2,519",0,"214,124"
05/09/2020,Google,TienTran,Guu-Search,"40,693",359,0,9,0,0,0,0,0,0,0,0,0,"113,351","4,521",0,"40,693"
05/09/2020,Google,TienTran,Guu-Discovery,"163,637","12,860",0,424,0,0,0,0,0,0,0,0,0,"12,724",386,0,"163,637"
05/09/2020,Google,TienTran,Guu-PerMax,"217,952","10,782",0,116,0,0,0,2,2,"998,000","998,000","108,976",1,"20,214","1,879",0,"217,952"
05/09/2020,Google,DucVu,Brand,"127,124","5,467",0,65,0,0,0,0,0,0,0,0,0,"23,253","1,956",0,"127,124"
06/09/2020,FB,DucVu,CVS,0,0,0,0,0,0,0,1,1,"499,000","499,000","13,924,085",1,"90,855","17,383","257,853","15,038,012"
06/09/2020,FB,DucVu,Mess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
